"name"	"country_code"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Egypt"	818	101205.018	110772.564	120520.365	130974.198	142451.996	154448.634	166817.932	179268.993	191764.169	204585.106	217696.318	230785.906	243676.289	256469.707	269093.705	281581.201	293749.321
"Libya"	434	6351.935	6432.813	6520.704	6618.63	6741.881	6875.543	7006.787	7129.951	7221.371	7326.884	7466.238	7661.706	7901.186	8149.322	8380.723	8591.236	8767.658
"Morocco"	504	36622.599	38732.297	40663.564	42295.742	43731.1	45124.821	46489.941	47714.525	48794.599	49633.2	50270.713	50817.006	51325.751	51835.336	52394.285	53040.714	53596.313
"Sudan"	729	45430.881	51354.923	57841.444	64679.087	71716.177	79189.392	87032.805	95303.617	103899.5	112612.547	121261.099	130176.303	139162.977	148295.543	157218.001	166254.228	174948.016
"Tunisia"	788	11908.135	12521.413	13041.832	13436.106	13785.052	14128.947	14494.553	14862.514	15177.395	15424.977	15645.331	15875.369	16162.183	16510.936	16882.825	17253.245	17611.456
"Western Sahara"	732	572.434	596.338	633.698	681.193	713.476	747.598	785.38	814.711	845.604	871.364	911.306	951.267	995.437	1027.16	1068.222	1111.462	1142.573
"Botswana"	72	2482.718	2697.739	2902.298	3092.776	3276.724	3454.875	3627.642	3790.649	3939.866	4073.034	4203.52	4329.726	4459.311	4589.404	4716.793	4843.106	4968.458
"Lesotho"	426	2278.204	2432.811	2593.526	2758.62	2934.368	3118.93	3310.913	3504.253	3699.411	3890.263	4079.022	4265.268	4449.044	4631.299	4807.127	4980.525	5146.164
"Namibia"	516	2739.635	3039.034	3331.019	3629.618	3921.277	4222.512	4524.469	4830.195	5118.842	5391.734	5639.685	5894.785	6141.208	6372.538	6601.658	6814.216	7014.801
"South Africa"	710	57848.111	61482.231	65134.86	68647.305	71936.621	75124.989	78164.652	81133.949	83849.984	86525.579	89108.91	91713.819	94296.324	96951.092	99646.645	102466.543	105329.307
"Swaziland"	748	1381.53	1477.159	1571.878	1666.329	1768.45	1874.87	1983.307	2091.585	2195.176	2294.43	2388.036	2477.096	2564.903	2655.41	2738.788	2820.891	2900.734
"Benin"	204	12433.175	14156.144	16029.489	18006.552	20081.795	22273.008	24568.172	26925.137	29330.474	31771.212	34249.819	36712.371	39146.026	41556.512	43921.167	46224.122	48434.432
"Burkina Faso"	854	20933.046	24140.826	27748.027	31665.478	35881.609	40403.137	45223.632	50333.682	55630.676	61109.704	66729.375	72528.644	78380.113	84238.266	90136.951	96026.299	101912.309
"Cabo Verde"	132	558.847	598.438	637.725	675.701	714.194	750.886	785.692	815.653	842.547	865.759	886.106	902.501	917.904	934.182	952.655	973.321	993.23
"Cote d'Ivoire"	384	25677.826	29040.894	32726.395	36653.459	40822.614	45292.239	50058.881	55142.578	60404.504	65858.614	71481.452	77111.895	82901.383	88605.538	94125.795	99643.686	104987.051
"Gambia"	270	2352.619	2762.912	3223.031	3723.123	4266.309	4856.929	5468.272	6099.804	6761.383	7423.51	8081.127	8764.088	9437.626	10102.829	10759.892	11367.582	11962.891
"Ghana"	288	30754.213	34248.967	37921.277	41737.674	45755.975	49957.184	54300.465	58587.562	62904.582	67278.89	71716.307	76084.101	80606.156	85086.888	89426.631	93508.217	97420.166
"Guinea"	324	14456.092	16572.02	18859.656	21316.256	23984.365	26849.789	29796.086	32945.864	36121.907	39541.136	42998.185	46555.201	50292.088	53817.983	57706.306	61504.518	65063.615
"Guinea-Bissau"	624	2072.201	2312.466	2562.279	2820.796	3090.623	3372.349	3664.989	3961.294	4259.72	4552.009	4843.447	5134.186	5421.914	5702.152	5976.414	6232.582	6477.338
"Liberia"	430	5153.836	5872.732	6705.061	7608.475	8620.858	9669.863	10811.427	12048.783	13252.563	14533.177	15950.775	17346.181	18888.24	20441.834	22043.463	23607.262	25190.822
"Mali"	466	20420.121	23620.222	27323.357	31426.125	35942.302	40776.047	45900.881	51285.3	56805.909	62544.72	68483.936	74491.814	80576.592	86665.705	92657.063	98438.413	103950.458
"Mauritania"	478	4600.902	5187.655	5827.852	6499.513	7208.995	7958.298	8752.314	9584.835	10445.636	11331.201	12237.021	13157.089	14080.759	14996.456	15914.22	16827.27	17730.833
"Niger"	562	24493.835	30206.801	37148.905	45462.025	55292.876	66656.104	79634.507	94205.836	110233.684	127655.865	146504.143	166813.064	188263.677	210693.71	234249.929	258431.989	283229.666
"Nigeria"	566	207977.947	236786.675	268695.917	303260.029	340599.394	380553.773	422471.783	465856.225	510891.032	557412.922	604903.645	653034.733	700730.121	748217.225	794670.424	839802.262	884541.601
"Senegal"	686	17583.884	20320.482	23361.314	26728.124	30414.107	34456.493	38837.544	43572.531	48505.36	53761.697	59349.694	65146.72	71253.57	77646.311	84248.09	90924.008	97662.761
"Sierra Leone"	694	7228.902	8043.564	8985.521	9956.73	11023.771	12073.91	13216.07	14434.658	15720.573	17019.499	18317.669	19617.111	20890.458	22222.331	23552.918	24918.47	26333.925
"Togo"	768	8292.525	9358.914	10515.292	11747.826	12996.788	14350.046	15784.545	17236.552	18680.763	20182.674	21692.081	23205.055	24728.517	26152.938	27571.861	28964.489	30312.621
"Asia"	935	4650077.968	4916202.439	5165177.109	5379949.169	5576854.746	5771528.266	5968213.659	6162115.166	6344433.524	6514755.917	6682036.094	6855073.049	7036485.546	7224665.141	7419564.912	7618681.006	7822420.596
"China"	156	1413382.995	1450650.129	1473948.312	1481545.867	1482237.688	1480309.499	1480103.322	1479934.374	1477535.437	1473221.144	1470711.734	1473375.557	1484132.399	1502374.535	1526990.501	1553780.892	1581392.139
"China, Hong Kong SAR"	344	7539.315	7764.243	7910.756	7984.5	7978.163	7981.669	7998.389	8034.561	8024.398	7996.43	7968.241	7937.006	7975.451	8081.693	8247.83	8436.585	8662.151
"China, Macao SAR"	446	628.638	666.285	697.483	711.31	716.223	713.271	716.447	717.472	715.482	713.277	705.34	696.18	692.45	690.947	698.929	710.53	725.639
"Dem. People's Rep. of Korea"	408	25973.53	26877.912	27742.96	28441.626	29018.637	29570.409	30213.18	30958.04	31765.357	32558.459	33401.554	34324.204	35368.562	36512.595	37716.649	38925.095	40124.92
"Japan"	392	125638.478	124412.867	123021.152	121239.74	119355.181	117635.449	116488.796	115825.813	115465.14	115041.553	114791.968	114931.488	115769.016	117319.348	119509.854	122126.768	125106.427
