"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"WORLD"	900	7348416.351	7731012.314	8083975.379	8405796.677	8704639.004	8969726.407	9203380.014	9409329.73	9584409.878	9725301.37	9849943.143	9928362.99	10020046.302	10091821.33	10148513.945	10164709.099	10174522.897	10179475.71
"AFRICA"	903	1186174.321	1331280.155	1485224.793	1645115.721	1811554.436	1981697.901	2155922.986	2330464.901	2504163.671	2669305.721	2829003.251	2979454.884	3123220.059	3252133.828	3380357.698	3488384.235	3585153.542	3670804.974
"Burundi"	108	11178.921	12484.654	13769.076	14996.44	16175.62	17480.259	18811.206	20015.77	20719.105	21542.54	22515.412	23184.896	23513.24	24116.699	24444.761	24296.759	24198.03	23747.422
"Comoros"	174	788.474	858.231	929.71	1000.495	1063.726	1122.305	1175.473	1223.787	1259.394	1297.38	1301.045	1315.255	1315.83	1313.527	1295.592	1273.935	1230.008	1195.696
"Djibouti"	262	887.861	796.729	745.686	724.738	705.369	717.7	715.774	708.423	691.093	677.558	656.066	646.048	610.117	602.272	588.511	557.152	531.275	480.315
"Eritrea"	232	5227.791	5528.529	5886.771	6272.155	6725.778	7037.98	7401.454	7667.224	7853.589	8041.227	8289.064	8425.278	8563.935	8442.821	8417.843	8257.525	7963.649	7637.123
"Ethiopia"	231	99390.75	108738.059	118950.484	129029.494	137787.421	147296.107	154970.655	161697.099	168170.621	172918.093	175301.383	177329.803	178144.918	177841.132	176211.944	173207.647	171166.859	165070.032
"Kenya"	404	46050.302	51207.56	56330.374	61404.661	66202.089	71014.345	75287.366	79114.342	82023.698	84525.007	86292.725	87393.975	87615.629	87604.676	86805.47	85422.992	83171.278	80630.567
"Madagascar"	450	24235.39	27480.16	30953.985	34566.707	38287.499	42181.008	46010.395	49645.473	53218.447	56764.525	59850.713	62916.947	65332.593	67635.682	69476.235	70872.451	71328.914	71629.506
"Malawi"	454	17215.232	18681.977	20796.605	22967.286	25409.269	27891.165	30668.594	33073.359	35681.841	37786.667	40290.645	41805.417	43367.768	44880.64	45077.544	46190.183	46779.162	46011.868
"Mauritius"	480	1273.212	1255.865	1229.321	1190.709	1140.77	1081.73	1019.623	953.46	885.646	822.366	754.418	692.643	632.02	571.835	512.824	461.173	417.793	369.426
"Mayotte"	175	240.015	258.554	273.149	287.755	299.944	313.569	323.78	330.811	337.541	343.986	351.291	357.076	357.542	356.664	345.744	336.152	326.883	317.126
