"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Algeria"	12	39666.519	41902.834	43708.716	44890.557	45663.893	46329.784	46907.378	47070.236	46851.455	46324.252	44874.853	43206.694	41420.872	39883.539	37542.972	35398.511	33107.291	31301.344
"Egypt"	818	91508.084	98343.418	103997.406	108779.416	113134.747	116983.981	119981.708	122424.897	122984.106	123172.847	120907.399	117678.305	116559.178	114668.185	110602.008	104094.927	99833.007	95632.211
"Libya"	434	6278.438	5945.055	5486.029	5016.401	4544.144	4216.916	3946.147	3608.095	3306.543	2928.743	2552.191	2245.283	2031.04	1769.374	1649.554	1512.49	1279.45	1097.733
"Morocco"	504	34377.511	35498.791	36324.63	36685.699	36676.979	36419.038	35646.506	34885.798	33780.966	32592.881	31216.214	29691.959	27866.727	25881.086	23586.066	21555.202	19856.036	17987.314
"Sudan"	729	40234.882	42720.608	45867.347	49579.583	52149.78	54906.613	56607.86	58543.299	59709.017	61273.18	63346.836	63582.438	63702.633	63052.822	63973.769	61926.053	60330.56	57542.153
"Tunisia"	788	11253.554	11395.358	11384.053	11197.838	10885.726	10536.751	10034.453	9526.035	8972.888	8384.156	7668.851	6964.645	6485.487	6079.344	5343.614	4864.687	4406.921	4001.936
"Western Sahara"	732	572.54	443.554	427.968	401.292	384.718	372.582	356.058	345.154	316.264	307.623	279.48	251.641	243.872	218.071	202.812	192.726	177.898	150.977
"Botswana"	72	2262.485	2388.475	2475.412	2513.039	2480.638	2473.205	2456.29	2425.38	2363.658	2275.583	2155.79	2040.681	1950.468	1840.657	1757.511	1636.913	1509.069	1377.049
"Lesotho"	426	2135.022	2187.396	2231.445	2256.485	2273.486	2292.631	2294.599	2271.829	2260.74	2229.067	2175.573	2077.32	1989.222	1904.057	1787.749	1670.85	1575.874	1468.605
"Namibia"	516	2458.83	2550.24	2679.312	2787.416	2867.198	2888.837	2936.443	2941.882	2963.324	2917.626	2863.763	2718.384	2665.353	2562.571	2380.353	2271.622	2138.205	1978.67
"South Africa"	710	54490.406	55790.933	56995.456	57583.975	57909.104	57426.996	57271.94	56471.576	55055.928	52671.736	49962.814	47307.659	44607.371	41607.148	38992.519	36137.938	33095.713	30230.486
