"country"	"country_code"	"age"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Africa"	903	"50-54"	20460.024	24227.967	29314.954	35125.772	40721.516	45643.538	51557.267	58694.567	67366.407	76727.269	83055.629	89178.282	95617.781	102802.249	109773.276	115664.999	120880.346
"Africa"	903	"55-59"	16588.005	19137.163	22770.615	27646.305	33264.442	38707.959	43521.155	49245.498	56210.081	64690.036	73808.515	80054.23	86087.019	92480.375	99675.243	106577.139	112177.289
"Africa"	903	"60-64"	12845.731	15115.239	17530.647	20985.36	25618.156	30936.834	36137.124	40801.11	46327.515	53082.038	61250.681	70135.564	76216.534	82160.49	88386.259	95319.993	102129.035
"Africa"	903	"65-69"	9395.07	11188.502	13265.586	15508.565	18706.563	22993.03	27933.493	32790.696	37227.595	42479.188	48915.176	56672.482	65104.265	71000.776	76863.786	82808.491	89785.882
"Africa"	903	"70-74"	6242.626	7596.619	9148.775	10974.528	12972.229	15816.705	19643.636	24095.758	28504.713	32644.416	37533.417	43408.741	50583.876	58461.584	64144.89	69786.989	75305.616
"Africa"	903	"75-79"	3650.029	4449.84	5539.845	6791.417	8296.633	9980.34	12385.303	15581.721	19365.307	23182.141	26946.477	31329.072	36526.452	42927.452	50030.663	55185.768	60374.219
"Africa"	903	"80-84"	1830.295	2148.246	2700.525	3494.61	4402.916	5532.764	6830.069	8713.05	11231.119	14243.945	17389.248	20575.713	24248.231	28637.1	34069.591	40098.019	44766.562
"Africa"	903	"85-89"	694.857	819.287	1000.552	1320.582	1807.79	2389.681	3153.839	4063.715	5417.195	7195.85	9412.186	11802.919	14379.476	17293.506	20802.452	25070.876	29851.868
"Africa"	903	"90-94"	176.98	218.246	271.192	352.509	503.699	754.09	1083.266	1531.099	2105.138	2973.285	4149.502	5651.04	7347.55	9234.144	11429.07	14021.256	17287.186
"Africa"	903	"95-99"	22.95	35.407	47.624	63.994	91.818	148.652	251.878	399.603	616.295	926.492	1400.816	2053.174	2933.56	3980.341	5217.699	6680.435	8410.813
"Africa"	903	"100+"	1.99	2.966	4.954	7.541	11.397	18.629	34.526	67.87	122.909	215.841	359.18	594.256	950.283	1455.019	2114.028	2964.739	4066.093
"Burundi"	108	"0-4"	1150.788	1215.913	1269.867	1386.371	1538.229	1655.851	1745.781	1784.42	1814.253	1889.248	1958.395	2009.895	2034.003	2055.944	1966.775	2008.036	1958.849
"Burundi"	108	"5-9"	993.552	1106.789	1172.467	1230.431	1346.976	1497.596	1614.943	1706.134	1742.625	1791.845	1852.822	1910.907	1981.898	2005.992	2009.563	1943.092	1960.993
"Burundi"	108	"10-14"	808.383	972.79	1088.038	1151.755	1208.404	1325.619	1467.082	1581.225	1676.37	1701.378	1756.115	1827.943	1911.451	1930.723	1965.126	1966.235	1935.71
"Burundi"	108	"15-19"	630.074	791.911	955.066	1066.84	1133.211	1185.124	1289.117	1423.866	1550.58	1630.595	1671.023	1736.541	1824.314	1882.488	1911.804	1933.457	1937.741
"Burundi"	108	"20-24"	532.888	611.838	767.115	925.338	1034.304	1095.801	1147.826	1244.336	1386.275	1490.93	1591.433	1635.528	1672.974	1766.573	1825.539	1866.124	1905.29
"Burundi"	108	"25-29"	492.499	512.572	583.765	735.326	887.333	997.842	1049.826	1101.214	1189.16	1328.899	1441.789	1537.432	1566.603	1612.34	1706.278	1772.36	1826.825
"Burundi"	108	"30-34"	438.302	470.463	485.971	553.317	702.574	848.534	955.067	1004.123	1048.321	1142.826	1275.698	1375.989	1478.123	1504.014	1538.009	1627.589	1701.408
"Burundi"	108	"35-39"	354.196	417.489	446.403	460.55	523.443	666.328	811.682	914.825	956.578	1005.183	1093.576	1218.282	1337.75	1412.885	1470.213	1496.237	1571.429
"Burundi"	108	"40-44"	261.721	335.688	395.719	422.618	434.759	497.574	635.715	781.283	871.28	921.755	960.935	1051.712	1175.902	1283.546	1381.471	1419.26	1444.621
"Burundi"	108	"45-49"	185.794	247.034	317.892	375.551	402.348	415.828	475.32	611.46	747.985	838.049	893.214	930.286	1019.713	1138.425	1239.284	1346.201	1371.936
"Burundi"	108	"50-54"	160.471	173.991	231.93	300.121	355.364	380.313	391.096	455.913	587.094	713.773	809.179	857.503	894.942	983.731	1101.968	1206.794	1302.457
"Burundi"	108	"55-59"	138.675	148.69	161.486	216.672	281.619	334.573	358.339	369.099	430.624	554.682	678.832	771.597	819.797	859.587	946.885	1057.653	1168.248
"Burundi"	108	"60-64"	116.977	125.097	134.458	146.994	198.153	258.167	308.147	329.516	345.768	401.069	520.284	638.567	729.284	782.992	816.524	898.416	1007.279
"Burundi"	108	"65-69"	81.603	100.935	108.648	117.644	129.222	175.497	230.174	276.687	299.019	313.793	365.79	477.684	593.094	677.146	720.208	761.121	839.51
"Burundi"	108	"70-74"	42.98	64.801	80.622	87.314	95.313	105.496	145.222	193.709	233.547	257.259	268.354	317.065	416.152	519.723	591.784	641.65	684.422
"Burundi"	108	"75-79"	24.483	29.629	44.994	56.684	62.115	68.394	78.132	109.328	147.672	181.852	199.709	213.058	253.983	334.605	420.904	485.014	532.436
"Burundi"	108	"80-84"	11.863	13.276	15.578	24.601	31.662	35.21	41.911	48.207	69.978	96.871	120.135	133.852	145.519	175.826	237.287	306.421	355.143
"Burundi"	108	"85-89"	4.61	4.998	5.722	6.888	11.105	14.83	16.877	20.114	24.274	36.038	50.648	63.984	73.175	81.81	99.399	136.4	178.602
"Burundi"	108	"90-94"	1.104	1.244	1.401	1.657	2.055	3.37	4.718	5.57	6.982	8.595	12.875	18.352	24.081	28.451	32.382	39.856	54.552
"Burundi"	108	"95-99"	0.121	0.162	0.191	0.223	0.27	0.344	0.596	0.882	1.069	1.362	1.774	2.743	4.032	5.393	6.535	7.516	9.722
"Burundi"	108	"100+"	0.006	0.01	0.014	0.017	0.02	0.025	0.033	0.059	0.091	0.114	0.154	0.2	0.319	0.491	0.662	0.818	1.017
"Comoros"	174	"0-4"	63.858	66.328	68.049	71.324	73.896	76.268	78.384	78.138	78.287	79.064	78.787	78.223	77.805	75.233	72.858	71.79	70.339
"Comoros"	174	"5-9"	59.066	62.14	64.704	66.323	69.676	72.434	74.782	76.918	76.683	76.806	77.463	77.356	76.946	76.248	73.692	71.263	71.092
"Comoros"	174	"10-14"	52.671	57.966	60.922	63.507	65.478	68.983	71.258	73.712	75.395	75.619	75.6	76.296	76.884	76.192	75.102	72.937	71.115
"Comoros"	174	"15-19"	46.344	51.745	56.91	59.879	62.434	64.412	67.758	70.058	72.636	74.075	74.615	74.708	75.376	75.719	75.213	74.026	71.713
"Comoros"	174	"20-24"	41.014	45.394	50.588	55.731	58.695	61.385	63.135	66.636	68.862	70.998	73.072	73.488	73.518	74.27	74.614	74.255	73.184
"Comoros"	174	"25-29"	36.455	40.038	44.286	49.495	54.677	57.454	59.944	61.933	65.402	67.882	70.173	71.854	72.386	72.495	73.31	72.742	72.99
"Comoros"	174	"30-34"	32.737	35.507	38.993	43.257	48.465	53.596	56.36	58.688	61.115	64.304	66.794	68.927	70.026	70.982	71.387	72.212	71.637
"Comoros"	174	"35-39"	27.802	31.79	34.498	37.933	42.175	47.311	52.333	54.933	57.334	59.746	62.79	65.619	67.096	69.018	69.648	70.136	70.655
"Comoros"	174	"40-44"	22.069	26.854	30.708	33.378	36.83	41.018	46.045	50.794	53.623	55.985	58.217	61.299	63.398	65.937	67.375	68.411	68.685
"Comoros"	174	"45-49"	17.367	21.109	25.706	29.493	32.133	35.515	39.621	44.321	49.284	51.85	54.327	56.266	59.291	61.43	64.179	65.815	66.691
"Comoros"	174	"50-54"	14.082	16.385	19.937	24.411	28.084	30.591	33.886	37.675	42.56	47.263	49.723	52.125	54.074	56.94	59.393	62.041	63.492
