"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
540	"New Caledonia"	17.234	19.043	19.833	20.618	21.383	22.106	22.784	23.386	23.927	24.481	25.087	25.735	26.345	26.825	27.133	27.322	27.495
598	"Papua New Guinea"	72.946	107.189	128.424	148.79	167.616	184.722	200.752	215.86	230.055	244.539	260.725	279.134	299.374	321.04	343.146	364.958	386.105
90	"Solomon Islands"	-3.079	2.215	5.278	8.353	11.445	14.557	17.637	20.653	23.566	26.326	28.899	31.261	33.372	35.218	36.809	38.134	39.29
548	"Vanuatu"	8.317	10.804	12.013	13.207	14.409	15.647	16.946	18.288	19.566	20.705	21.689	22.555	23.352	24.185	25.146	26.218	27.338
316	"Guam"	8.436	10.998	12.583	14.121	15.567	16.967	18.344	19.633	20.776	21.741	22.581	23.375	24.221	25.213	26.379	27.653	28.97
296	"Kiribati"	2.58	4.574	5.217	5.845	6.455	7.052	7.657	8.296	9.004	9.798	10.669	11.579	12.512	13.446	14.331	15.12	15.835
583	"Micronesia (Fed. States of)"	7.228	12.842	16.1	19.257	22.21	24.826	27.034	28.877	30.415	31.683	32.818	33.963	35.216	36.66	38.378	40.275	42.231
258	"French Polynesia"	14.941	18.962	20.21	21.434	22.67	23.905	25.117	26.304	27.471	28.599	29.622	30.47	31.105	31.539	31.877	32.211	32.566
882	"Samoa"	-3.232	1.337	5.117	8.876	12.645	16.545	20.799	25.616	31.158	37.566	44.949	53.339	62.754	73.116	84.198	95.681	107.312
776	"Tonga"	1.905	5.291	9.244	13.236	17.27	21.248	25.053	28.706	32.32	35.974	39.567	43.013	46.497	50.071	53.736	57.454	61.179
