"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Algeria"	12	39666.519	43484.02	46873.843	49737.931	52569.16	55355.093	58497.239	61471.9	64129.064	66560.716	69213.909	71114.95	72800.807	74552.353	76454.491	78587.695	80266.954	81189.907
"Egypt"	818	91508.084	101857.769	111859.606	121714.1	132369.39	144533.673	156625.728	168769.091	181274.939	192950.58	205039.335	217797.893	230074.651	242154.777	253883.197	266085.241	276766.907	287060.488
"Libya"	434	6278.438	6588.858	6934.047	7285.807	7624.977	8010.881	8471.115	8764.486	9003.456	9232.872	9478.508	9608.167	9896.827	10139.89	10509.157	10420.435	10551.104	10849.605
"Morocco"	504	34377.511	36847.389	39079.104	41075.381	42889.572	44551.712	46155.713	47596.118	48761.786	49783.177	50366.724	50680.955	50888.211	51194.615	51046.801	51042.163	50845.756	50650.041
"Sudan"	729	40234.882	46765.708	53561.092	60731.915	68616.136	76929.826	85095.938	93979.256	103209.282	113137.621	123188.522	134042.127	144075.869	157307.069	165104.097	176676.905	188650.583	199317.436
"Tunisia"	788	11253.554	12051.12	12781.754	13435.865	13998.203	14518.094	14924.264	15405.761	15762.721	16234.06	16518.853	16796.106	17056.031	17433.903	17515.546	17720.446	17959.319	18174.812
"Western Sahara"	732	572.54	658.243	712.458	794.56	890.179	961.886	1038.954	1099.439	1132.034	1150.6	1228.606	1297.079	1344.636	1432.977	1497.811	1548.713	1598.638	1680.851
"Botswana"	72	2262.485	2513.106	2756.162	2992.006	3213.069	3452.026	3670.643	3889.864	4066.131	4276.061	4429.459	4565.447	4699.767	4844.299	4946.372	5073.953	5232.826	5332.91
"Lesotho"	426	2135.022	2308.062	2480.078	2650.297	2816.808	3012.817	3218.236	3431.562	3610.521	3821.605	4046.949	4234.707	4409.786	4624.37	4773.721	4934.607	5086.692	5206.579
"Namibia"	516	2458.83	2825.321	3182.413	3532.997	3879.799	4227.775	4591.98	4919.193	5229.446	5524.326	5824.339	6121.25	6453.703	6740.225	6978.314	7157.101	7225.447	7392.893
"South Africa"	710	54490.406	58360.197	61987.84	65580.254	68868.613	71728.785	74634.076	77109.552	79413.051	81200.354	83377.456	84886.392	86014.399	86842.972	87340.432	87413.379	88654.065	89047.523
"Swaziland"	748	1286.97	1411.898	1517.667	1618.833	1716.802	1827.98	1937.82	2039.492	2138.657	2247.459	2331.864	2407.292	2507.42	2590.388	2640.135	2673.003	2727.151	2786.081
