"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Algeria"	12	19957.604	21864.863	23558.153	24989.499	26398.661	27792.953	29379.597	30889.576	32258.006	33443.69	34756.343	35699.801	36799.222	37799.226	38673.958	39704.938	40688.521	41147.496
"Egypt"	818	46240.42	51494.054	56581.312	61549.251	67039.096	73277.922	79175.524	85608.305	92098.105	98143.8	104374.435	111067.2	117894.319	123788.428	130131.657	135766.04	142539.496	148377.062
"Libya"	434	3156.745	3289.182	3462.917	3629.181	3803.669	4013.194	4232.088	4397.195	4557.007	4692.642	4828.611	4972.268	5125.525	5260.768	5467.39	5545.577	5614.034	5722.637
"Morocco"	504	16989.264	18279.216	19408.257	20382.757	21333.161	22181.916	22929.666	23724.896	24290.437	24793.326	25087.524	25404.812	25614.249	25626.945	25327.219	25476.587	25567.501	25220.674
"Sudan"	729	20197.019	23481.515	26885.606	30516.831	34503.307	38678.063	42801.316	47213.48	51796.916	56672.164	61736.68	67113.394	72072.693	78079.113	82618.108	88253.526	94026.702	100184.581
"Tunisia"	788	5561.085	5955.072	6315.389	6652.361	6931.349	7187.356	7390.264	7639.278	7869.668	8113.771	8285.459	8436.85	8586.077	8825.675	8892.88	8958.067	9103.664	9232.103
"Western Sahara"	732	300.04	344.248	371.21	412.288	462.405	498.108	535.132	563.756	581.296	586.397	627.283	663.736	689.082	733.214	763.282	790.895	829.526	854.021
"Botswana"	72	1130.409	1257.607	1380.688	1499.107	1610.565	1728.673	1840.113	1943.074	2031.794	2138.607	2208.302	2279.123	2339.679	2419.511	2465.48	2502.535	2583.28	2644.629
"Lesotho"	426	1056.775	1149.985	1241.584	1331.293	1420.528	1520.097	1622.414	1732.251	1816.478	1925.507	2028.027	2134.425	2213.802	2331.49	2413.87	2478.333	2556.324	2610.821
"Namibia"	516	1196.788	1395.129	1582.939	1753.263	1923.831	2095.028	2268.555	2422.053	2574.489	2720.761	2866.433	3013.321	3162.821	3307.365	3429.662	3513.761	3549.888	3600.853
"South Africa"	710	26797.256	28824.27	30721.709	32602.658	34293.033	35723.641	37144.036	38350.028	39438.778	40296.202	41217.534	41783.539	42159.675	42461.377	42678.516	42797.978	43235.165	43647.99
"Swaziland"	748	636.442	708.605	764.088	815.054	869.488	920.327	977.658	1026.776	1074.452	1123.458	1158.385	1199.697	1228.822	1271.7	1293.026	1314.713	1328.066	1330.626
