"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Egypt"	818	46240.42	49587.146	52360.772	54870.275	57131.985	59341.82	60824.312	62157.237	62320.907	62252.929	62731.389	61080.447	59711.353	58303.956	56378.439	53585.281	50878.802	48100.122
"Libya"	434	3156.745	2865.871	2551.802	2205.059	1906.246	1693.765	1519.59	1349.885	1300.946	1299.037	1323.164	1342.447	1367.609	1387.495	1409.369	1436.712	1463.454	1461.94
"Morocco"	504	16989.264	17588.463	17869.466	17915.139	17849.156	17588.418	17155.666	16547.391	15915.916	15276.651	14353.876	13417.058	12351.554	11361.333	10370.515	9299.321	8223.835	7186.552
"Sudan"	729	20197.019	21431.908	22971.807	24553.042	25646.253	26384.516	27336.213	27880.767	28013.952	28155.353	28193.942	28400.055	27735.91	27633.396	27510.361	26621.28	25108.052	24109.123
"Tunisia"	788	5561.085	5611.897	5584.247	5505.799	5344.407	5153.534	4906.33	4626.565	4444.25	4256.784	3981.198	3654.753	3398.099	3184.678	2862.037	2603.335	2360.373	2178.87
"Western Sahara"	732	300.04	260.949	260.067	258.309	254.815	257.912	253.85	253.88	250.188	254.106	252.426	252.921	250.095	253.58	255.24	251.49	255.426	256.92
"Botswana"	72	1130.409	1187.287	1230.36	1254.895	1253.844	1236.082	1230.667	1203.11	1166.021	1113.779	1033.588	988.722	929.875	861.796	806.938	745.121	668.727	612.926
"Lesotho"	426	1056.775	1086.61	1108.146	1115.556	1128.717	1133.255	1131.981	1120.565	1108.891	1079.641	1043.706	1005.529	951.881	902.996	846.27	793.892	743.512	689.274
"Namibia"	516	1196.788	1230.465	1269.185	1324.041	1360.672	1380.628	1367.47	1370.346	1365.157	1317.004	1294.317	1250.899	1192.322	1136.467	1069.151	1034.568	995.104	933.998
"South Africa"	710	26797.256	27448.959	28030.364	28619.818	28688.487	28689.726	28100.446	27287.761	26386.49	25415.399	24382.927	22751.661	21190.341	19596.425	18293.893	17154.874	15818.364	14831.642
"Swaziland"	748	636.442	629.923	632.502	640.576	646.775	642.29	635.462	623.874	605.243	587.15	575.422	557.715	528.487	496.823	474.13	439.878	405.287	372.009
"Benin"	204	5425.949	5968.427	6504.312	7046.761	7584.941	8057.587	8488.751	8810.071	9149.61	9353.034	9479.538	9557.674	9436.362	9186.572	8910.693	8678.155	8267.259	7837.717
"Burkina Faso"	854	8984.175	10117.142	11204.086	12160.401	13049.557	13869.141	14533.234	15023.328	15466.744	15615.456	15748.43	15671.209	15773.229	15529.368	15224.889	14689.602	13875.403	13152.6
"Cabo Verde"	132	256.827	241.496	229.416	216.329	206.307	200.074	191.142	182.601	168.736	161.583	144.555	133.774	124.598	110.87	96.342	86.222	81.153	72.378
"Cote d'Ivoire"	384	11546.154	12417.004	13097.51	13685.297	14285.172	14650.777	14810.905	15133.882	14924.417	14770.514	14602.434	14155.156	13545.017	13293.928	13033.5	12302.211	11691.77	11044.449
"Gambia"	270	985.531	1026.479	1123.391	1223.68	1335.312	1474.271	1543.255	1612.957	1697.248	1765.527	1808.724	1821.662	1828.64	1819.802	1875.124	1841.311	1826.59	1733.737
"Ghana"	288	13635.406	14166.029	14734.987	15209.846	15656.353	16037.382	16568.302	17164.412	17449.062	17597.896	17648.502	17746.776	17492.396	17426.609	17010.59	16758.452	16114.473	15057.358
"Guinea"	324	6322.237	6386.293	6669.449	6932.853	7121.425	7227.371	7275.438	7254.814	7360.697	7517.72	7707.829	7407.729	7334.364	7028.6	6829.874	6662.355	6367.317	6064.083
"Guinea-Bissau"	624	915.5	992.881	1064.376	1127.079	1186.699	1236.216	1274.558	1289.393	1290.569	1271.037	1251.213	1230.69	1195.368	1149.764	1085.335	1033.253	998.878	935.011
"Liberia"	430	2269.795	2089.042	2175.545	2246.339	2395.78	2480.353	2542.76	2698.478	2757.473	2873.621	2834.538	2743.621	2738.186	2723.835	2597.866	2535.208	2438.386	2407.488
"Mali"	466	8884.69	9879.242	10898.382	11819.653	12765.291	13433.965	14232.544	14573.812	14981.925	14999.545	15283.7	15260.222	15233.018	14767.748	14092.31	13633.466	12779.111	12116.87
"Mauritania"	478	2046.781	2250.594	2451.916	2640.787	2813.968	2981.237	3132.305	3235.27	3285.389	3328.751	3360.662	3379.649	3364.982	3275.131	3179.233	3076.352	2934.11	2819.049
"Niger"	562	10029.155	12084.233	14400.619	16783.575	19126.237	21651.046	23860.618	25899.637	27721.927	29623.656	31200.51	32661.198	33908.749	35001.065	35665.49	36084.153	35690.92	35364.218
"Nigeria"	566	92788.95	103244.24	113981.518	124359.838	133768.789	142133.558	148985.664	154662.778	158232.529	159783.488	158234.675	155949.44	152191.523	147528.551	141748.798	136437.143	129713.567	121798.293
"Senegal"	686	7428.68	8253.44	9088.455	9905.833	10761.083	11593.251	12401.726	13224.524	13787.852	14267.028	14505.7	14849.02	14986.888	15200.981	15203.747	14960.809	14274.314	14088.285
"Sierra Leone"	694	3193.239	3143.892	3160.824	3204.41	3340.753	3397.771	3420.47	3465.412	3335.509	3222.22	3287.447	3141.231	2988.61	2744.534	2638.801	2515.371	2384.275	2217.567
"Togo"	768	3609.095	3755.405	3973.198	4181.541	4370.826	4570.469	4736.91	4861.441	4888.142	4980.893	5017.238	4954.656	4960.402	4818.561	4635.113	4476.455	4129.753	4023.708
"ASIA"	935	2246985.939	2334084.925	2401240.306	2456711.171	2491991.589	2514162.265	2521289.082	2515579.011	2492848.133	2455103.518	2414333.872	2369816.589	2315207.766	2255044.743	2190106.815	2125417.53	2058843.684	2001015.174
"China"	156	708977.116	714833.592	711602.203	700694.524	684880.132	663327.101	638288.506	609852.587	578801.249	549686.116	517888.546	482916.091	457568.552	429226.346	396427.212	370724.593	347177.151	325537.603
"China, Hong Kong SAR"	344	3421.641	3152.17	2908.205	2713.42	2484.198	2210.12	1988.634	1716.836	1488.746	1294.905	1147.004	1019.538	888.903	802.773	734.66	669.154	604.422	579.328
"China, Macao SAR"	446	283.011	246.433	222.392	198.881	180.66	164.805	148.589	133.747	119.921	107.768	98.006	84.972	74.764	64.055	55.565	46.14	38.856	36.222
"Dem. People's Republic of Korea"	408	12299.766	12427.033	12528.008	12499.593	12361.207	12143.207	11833.156	11544.198	11212.148	10813.524	10354.664	9932.574	9556.981	9133.097	8723.087	8268.762	7724.144	7246.703
"Japan"	392	61558.578	59846.582	57803.04	55581.246	53106.457	50649.379	48168.705	46067.109	43814.633	41456.778	39042.402	36909.367	35125.305	33127.22	31359.107	29454.145	27787.201	26262.364
"Mongolia"	496	1464.759	1533.31	1574.237	1597.606	1620.233	1619.37	1628.049	1621.924	1601.533	1586.389	1574.315	1559.04	1524.416	1510.622	1495.749	1471.833	1467.461	1461.122
"Republic of Korea"	410	24995.028	24698.787	24423.387	23990.781	23402.417	22487.381	21390.746	20300.138	18840.197	17732.62	16360.17	14809.192	13418.387	12270.462	11180.194	10266.034	9416.585	8694.416
"Other non-specified areas"	158	11699.869	11314.429	10913.13	10473.007	9881.932	9191.026	8521.697	7720.697	6935.333	6267.646	5650.508	4957.634	4366.527	3681.774	3132.277	2772.889	2281.016	1972.488
"Kazakhstan"	398	8512.059	8408.874	8077.044	7676.741	7124.324	6611.367	6134.597	5680.272	5370.953	5007.038	4532.669	4082.293	3713.037	3315.362	2944.419	2874.147	2711.323	2603.774
"Kyrgyzstan"	417	2940.177	3008.154	2996.504	2924.155	2853.699	2851.572	2719.096	2680.123	2508.297	2413.304	2276.045	2180.728	2059.601	1917.382	1792.728	1635.829	1498.37	1393.171
"Tajikistan"	762	4295.841	4495.93	4639.009	4753.446	4838.035	4867.436	4927.715	4820.674	4608.722	4512.056	4329.109	4216.941	4051.961	3850.485	3665.711	3335.11	3108.254	2969.002
"Turkmenistan"	795	2640.706	2693.849	2740.892	2733.914	2728.181	2677.37	2627.298	2540.223	2430.538	2314.862	2172.981	2034.342	1888.907	1753.899	1610.489	1505.223	1400.256	1253.797
"Uzbekistan"	860	14699.448	15163.228	15436.796	15453.162	15231.794	14903.3	14366.219	13907.299	13235.357	12481.168	11829.278	10934.239	10296.378	9461.704	8522.851	7405.047	6784.438	5964.019
"Afghanistan"	4	16773.704	15251.494	14644.32	14251.808	14394.939	14450.702	14184.406	13464.251	12984.552	12239.952	11749.552	11028.313	10453.855	9602.298	8514.134	7838.262	6904.861	6594.474
"Bangladesh"	50	81276.965	82630.858	84355.483	84951.945	84684.397	84019.24	82940.38	81807.51	79724.384	77129.171	73755.828	69501.62	66433.711	62386.554	58197.079	54461.891	50742.253	46168.677
"Bhutan"	64	416.284	388.246	369.556	345.817	334.188	307.638	299.979	286.68	270.613	246.182	223.674	195.612	175.685	148.484	130.849	117.099	100.997	89.036
"India"	356	679548.408	706468.77	728216.413	746012.707	757574.67	760272.318	760261.789	751867.925	739709.318	719990.826	701409.295	672750.125	641564.315	607476.04	567080.493	538052.244	510566.483	467570.511
"Iran (Islamic Republic of)"	364	39835.202	39974.511	39918.99	39707.809	38843.435	37885.86	36863.525	35812.19	34390.433	31778.592	29896.926	27662.89	25106.011	23021.097	21259.513	19551.007	17887.638	15725.814
"Maldives"	462	182.367	190.724	196.94	200.713	203.123	202.412	201.351	198.735	193.014	184.685	173.814	164.818	152.464	142.821	130.818	119.898	109.051	99.674
"Nepal"	524	13816.472	14221.761	14520.086	14645.47	14493.555	14215.846	13984.383	13400.493	12710.873	12214.87	11503.598	10714.058	9964.708	9208.284	8201.17	7306.485	6456.424	5429.457
"Pakistan"	586	97052.303	103958.434	110703.081	115865.858	120704.418	124485.179	127392.702	128570.402	127843.898	126090.731	122123.807	118077.028	114022.801	108445.469	103501.336	97636.886	90615.429	85034.532
"Sri Lanka"	144	9979.264	9897.404	9730.152	9438.943	9172.019	8776.217	8328.295	7867.917	7348.741	6826.205	6307.562	5776.813	5324.74	4808.71	4281.073	3765.376	3325.568	2948.776
"Brunei Darussalam"	96	218.027	221.644	222.958	218.752	216.078	210.684	202.313	189.006	175.095	159.488	144.796	132.57	116.082	101.519	85.646	71.074	62.413	50.732
"Cambodia"	116	7598.154	7754.746	7990.446	8070.496	8156.104	8206.718	8152.482	8171.513	7931.838	7902.718	7574.171	7312.717	6915.829	6581.405	6227.019	5801.786	5388.455	4854.165
"Indonesia"	360	129687.879	134162.533	137560.065	139652.733	141078.684	140871.388	139413.306	137011.602	133681.9	129521.737	125619.182	121549.152	116453.437	111985.387	106486.622	100014.013	94215.534	87470.818
"Lao People's Democratic Republic"	418	3385.328	3507.427	3644.12	3754.692	3786.515	3833.271	3849.641	3907.531	3819.439	3715.681	3578.431	3439.255	3263.942	3013.684	2737.279	2510.393	2295.923	2059.907
"Malaysia"	458	15025.676	15729.476	16362.546	16828.955	17082.971	17113.33	17084.763	16876.512	16604.35	16077.009	15594.523	14968.987	14368.899	13613.134	12910.174	12308.366	11679.729	10919.131
"Myanmar"	104	26334.984	26517.338	26495.735	26226.38	25718.525	24843.007	23860.147	22598.472	21283.034	19931.292	18446.836	17008.497	15864.702	14508.313	13492.028	12347.064	11248.643	10075.66
"Philippines"	608	50812.556	53402.643	55550.679	57154.016	58490.226	59539.848	59735.887	59170.217	58764.097	57602.193	55307.668	53539.261	51216.439	48593.28	45984.276	43568.274	41584.107	39325.251
"Singapore"	702	2765.035	2829.892	2829.04	2767.979	2635.932	2525.518	2355.389	2160.909	2016.169	1842.001	1637.171	1446.199	1275.403	1078.252	916.949	776.966	662.249	567.634
"Thailand"	764	33494.789	32905.282	32087.472	31116.84	29825.171	28452.658	26823.694	25213.178	23216.141	21326.231	19577.802	17970.502	16268.444	14998.926	13824.483	12476.094	11235.254	10379.275
"Timor-Leste"	626	601.573	591.262	595.391	601.963	603.929	637.003	668.208	689.676	685.929	684.765	700.711	699.527	675.82	649.2	652.585	620.516	572.407	536.589
"Viet Nam"	704	46224.469	47794.06	49082.109	49738.402	49847.256	49479.311	49080.928	48372.399	47670.243	46642.337	45294.771	43945.932	42516.136	40603.029	38783.222	37671.984	35714.894	33770.218
"Armenia"	51	1399.511	1257.805	1130.774	1000.43	888.61	782.142	676.208	606.382	521.923	466.042	381.258	324.677	297.396	264.101	233.306	213.248	190.702	172.427
"Azerbaijan"	31	4855.546	4971.889	4987.719	4910.598	4777.083	4626.484	4433.18	4301.639	4095.294	3889.389	3650.789	3418.448	3201.574	3032.366	2849.943	2661.886	2494.139	2350.089
"Bahrain"	48	853.607	625.951	554.832	583.105	579.787	591.076	600.409	589.458	573.139	550.966	526.92	525.818	512.936	510.053	474.513	482.698	448.607	453.22
"Cyprus"	196	594.492	571.208	542.496	519.865	481.926	439.249	401.563	366.206	319.449	292.916	256.715	214.167	175.649	147.51	121.305	107.49	92.585	75.926
"Georgia"	268	1908.151	1691.39	1454.454	1232.879	1018.015	835.718	702.591	595.494	481.571	392.293	310.489	245.394	192.055	146.388	111.272	89.02	70.595	62.37
"Iraq"	368	18436.977	20630.393	22343.612	24521.958	26601.227	28737.45	30494.688	32153.059	33479.234	34260.475	35495.172	36348.126	36549.299	36032.731	35913.363	35791.605	34907.821	35023.702
"Israel"	376	3998.623	3996.951	3979.454	3970.904	3958.544	3887.426	3889.604	3674.203	3575.017	3482.709	3367.45	3287.912	3157.079	3017.274	2860.063	2665.161	2516.084	2457.489
"Jordan"	400	3889.014	3590.129	3538.495	3455.398	3462.643	3478.863	3405.036	3241.181	3114.274	2994.082	2920.1	2768.516	2573.132	2512.838	2337.507	2166.883	2015.215	1801.665
"Kuwait"	414	2186.436	1828.601	1785.508	1741.786	1796.43	1931.107	1967.852	2106.374	2180.413	2022.563	2181.908	2218.946	2410.495	2496.789	2642.871	2645.899	2623.708	2689.523
"Lebanon"	422	2938.529	2843.075	2633.345	2518.606	2354.469	2249.76	2142.697	1977.126	1796.396	1686.99	1564.716	1465.907	1290.157	1178.165	1006.929	904.725	831.018	730.097
