"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Egypt"	818	45267.664	49078.701	52472.199	55597.033	58611.495	61538.835	64357.477	66560.713	68309.066	69193.869	69638.558	69791.104	69588.904	69098.301	68080.744	66981.961	65249.062	63047.882
"Libya"	434	3121.693	3118.019	3062.347	2977.524	2864.375	2757.709	2632.893	2493.898	2287.227	2128.559	2064.485	2038.997	2006.766	1989.818	1964.262	1943.043	1917.251	1883.638
"Morocco"	504	17388.247	18066.723	18700.611	19166.902	19462.657	19596.762	19590.53	19519.154	19220.18	18686.485	18052.101	17352.789	16492.979	15674.578	14745.964	13882.803	12893.879	12051.551
"Sudan"	729	20037.863	21697.609	23621.484	25412.076	27233.998	29251.885	31144.76	32559.857	33891.727	34968.588	35924.993	36543.654	37261.168	36620.34	36749.632	36930.799	36591.064	35594.953
"Tunisia"	788	5692.469	5843.286	5909.81	5911.896	5852.683	5783.204	5701.386	5602.764	5421.41	5233.488	5015.104	4790.253	4517.961	4268.583	3997.795	3720.424	3530.527	3343.176
"Western Sahara"	732	272.5	254.643	261.433	268.573	274.729	282.556	286.865	292.609	290.255	293.349	296.599	300.025	297.22	299.387	299.115	300.033	301.764	300.141
"Botswana"	72	1132.076	1209.036	1271.164	1315.911	1349.266	1370.502	1386.139	1392.188	1388.982	1373.375	1338.99	1302.288	1262.325	1204.337	1157.484	1100.138	1032.598	978.925
"Lesotho"	426	1078.247	1113.133	1141.101	1166.188	1186.34	1200.834	1220.143	1227.045	1235.782	1228.225	1219.025	1196.871	1171.909	1132.91	1099.828	1054.158	1015.503	973.351
"Namibia"	516	1262.042	1352.652	1441.199	1501.402	1560.014	1613.275	1662.63	1713.735	1737.39	1737.213	1742.435	1731.711	1697.411	1654.989	1587.497	1546.204	1478.461	1401.936
"South Africa"	710	27693.15	28559.998	29365.369	29974.556	30489.309	30610.263	30720.651	30666.731	30339.036	29942.221	29301.902	28366.214	27311.872	26391.245	25225.4	24178.504	22895.342	21768.299
