"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"WORLD"	900	3706677.378	3931767.371	4149321.692	4355376.021	4553212.816	4742124.812	4923943.802	5107085.878	5274896.487	5441750.091	5603203.353	5761627.95	5925029.242	6083007.774	6245769.747	6401612.957	6535133.999	6675113.249
"AFRICA"	903	593452.616	676755.8	765978.421	861438.349	964186.565	1072745.839	1188689.278	1314074.031	1443514.042	1580492.882	1724377.819	1875813.925	2020723.516	2175137.659	2323023.88	2483257.446	2639468.725	2800049.893
"Burundi"	108	5524.232	6836.97	8285.215	9938.712	11765.671	13882.725	16603.764	19271.842	22496.895	26249.721	30333.779	35811.19	41397.079	47174.248	53482.319	59475.912	65461.079	71886.559
"Comoros"	174	397.7	467.408	535.266	608.206	688.024	778.753	866.259	958.15	1064.471	1160.181	1269.779	1382.647	1519.207	1633.057	1788.021	1937.46	2109.037	2242.346
"Djibouti"	262	445.842	606.812	755.565	865.498	1000.294	1107.487	1208.673	1314.158	1439.378	1557.746	1630.308	1807.451	1891.97	1901.508	2020.3	2110.37	2154.255	2295.63
"Eritrea"	232	2618.843	3173.401	3786.389	4426.611	5211.587	6060.82	6775.961	7668.654	8540.18	9818.006	10731.563	12001.494	13150.584	14010.37	15304.498	16845.763	17692.777	18969.325
"Ethiopia"	231	49607.611	59524.258	69898.439	80934.017	93375.229	105087.28	117443.717	130508.104	146289.937	160771.146	176966.269	191365.97	204571.219	221850.125	233268.272	247140.588	265198.476	279786.503
"Kenya"	404	23016.937	26561.019	30171.13	34234.516	38323.38	42836.437	47794.181	52811.517	57780.517	62811.133	67844.54	73326.745	78724.469	84676.524	90457.991	97199.379	103158.453	108981.113
"Madagascar"	450	12082.461	14158.73	16519.693	19195.511	22175.491	25602.435	29519.226	33651.448	38419.114	43616.188	49464.195	55570.15	62671.59	69828.423	78038.929	85905.96	94357.117	103461.155
"Malawi"	454	8593.061	11229.849	14140.607	17389.583	20697.649	24423.026	28558.643	32545.902	37907.783	42607.762	49433.09	56048.529	65113.058	72957.064	79448.11	87086.822	95027.77	100319.205
"Mauritius"	480	628.841	651.522	671.842	692.027	707.706	715.521	735.189	745.178	764.633	770.087	788.905	809.838	810.705	807.984	812.484	824.239	849.147	879.324
"Mayotte"	175	117.878	145.542	176.22	213	257.364	304.238	354.156	419.803	470.971	526.891	592.113	686.542	776.112	828.289	887.114	959.457	1068.816	1140.99
"Mozambique"	508	13666.2	17558.8	21108.66	25223.455	29149.423	33801.004	39571.176	46396.43	52888.311	58711.918	66357.294	73223.305	82553.645	92067.492	102139.872	113128.235	122110.568	132345.912
"Reunion"	638	416.768	453.744	487.058	525.633	568.452	605.655	645.619	686.565	721.901	761.153	806.601	868.402	916.503	982.2	1048.202	1083.283	1111.551	1167.576
"Rwanda"	646	5559.566	7665.436	9626.718	11440.01	13281.748	16028.737	17112.686	19185.767	21394.92	23056.838	24440.184	26354.277	27823.601	30831.909	31966.672	34672.866	34882.365	35781.797
"Seychelles"	690	48.866	53.471	57.813	60.747	64.903	69.855	74.963	79.735	85.08	86.409	91.043	93.133	96.402	100.682	104.184	107.575	111.715	114.447
"Somalia"	706	5367.937	8012.624	10251.448	12460.853	15485.064	18886.984	21616.277	26111.526	29892.852	35638.962	40918.425	47057.599	52501.311	59897.01	67370.534	75453.956	85579.786	97136.815
"South Sudan"	728	6179.232	8310.814	10562.475	12948.938	15489.809	17899.922	20937.012	24387.855	27906.044	32131.312	36666.773	39827.674	45274.725	50094.321	54841.728	60342.539	65394.196	71426.884
"Uganda"	800	19507.178	23437.619	27901.455	33010.28	38746.061	45484.12	52361.123	60658.172	69564.836	79594.224	91007.643	103072.675	116048.403	129781.725	143388.446	157093.663	171278.011	186353.37
"United Republic of Tanzania"	834	26574.231	31907.65	38051.495	45094.088	53711.252	63263.201	74148.33	86376.874	100134.998	115759.085	133504.372	153685.972	174829.412	197426.42	222938.161	247744.764	276964.87	306689.906
"Zambia"	894	8093.647	9564.359	11255.128	13197.635	15289.839	17683.68	20388.126	23450.125	26915.371	30653.309	34748.714	39186.697	44380.821	49339.257	55321.756	61363.573	67347.49	73549.691
"Zimbabwe"	716	7687.557	8849.504	9956.415	11187.178	12376.454	13753.674	15067.518	16444.757	18010.416	19517.421	21058.544	22266.434	23735.126	25213.528	26896.416	28021.442	29596.75	31129.854
"Angola"	24	12416.192	15107.112	18276.269	21864.591	25847.981	30728.942	35902.481	42748.039	49542.79	57518.439	65990.804	75394.819	86292.174	96646.104	109158.802	120499.332	134396.013	152153.944
"Cameroon"	120	11672.284	13369.804	15184.418	17091.614	19201.567	21469.66	23844.83	26292.719	28642.219	31601.298	34538.521	37313.665	40257.054	42927.42	46030.57	48952.177	51004.507	53538.297
"Central African Republic"	140	2415.418	2721.431	3017.3	3320.789	3624.118	3920.552	4201.034	4519.716	4817.062	5082.255	5338.878	5583.757	5869.162	6096.243	6313.452	6456.194	6548.045	6702.791
"Chad"	148	7027.571	8479.536	10184.045	12137.48	14295.065	16772.874	19552.762	22695.352	26395.097	30349.246	34531.589	39114.247	44799.19	50596.888	56745.523	62126.77	68528.878	74175.788
"Congo"	178	2311.12	2689.459	3104.296	3570.225	4091.23	4655.866	5264.032	5947.583	6699.846	7517.407	8445.006	9315.321	10409.254	11535.945	12676.269	13911.136	15078.63	16327.414
