"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
900	"WORLD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
903	"AFRICA"	2954.243	4070.171	5034.784	6000.86	6970.002	7938.566	8893.66	9839.247	10781.507	11723.505	12631.724	13475.685	14244.032	14969.381	15727.117	16567.908	17480.641
108	"Burundi"	396.518	558.555	673.32	789.591	907.698	1028.453	1152.315	1280.443	1411.188	1540.708	1664.572	1789.96	1926.65	2078.266	2237.853	2398.609	2556.193
174	"Comoros"	14.244	20.585	22.786	24.93	27.006	29.056	31.108	33.22	35.493	38.041	40.811	43.488	45.767	47.37	48.082	48.098	47.832
262	"Djibouti"	159.502	203.717	207.447	211.3	215.295	219.781	224.639	230.04	236.115	242.523	248.4	252.669	255.206	256.741	258.214	260.209	262.547
232	"Eritrea"	221.948	302.434	353.141	403.158	452.069	499.97	547.362	592.967	635.228	673.104	706.64	736.676	765.133	793.992	823.563	852.101	879.776
231	"Ethiopia"	3155.305	3633.923	4124.62	4607.129	5082.391	5550.555	6007.91	6444.43	6847.109	7209.441	7527.656	7791.998	7996.737	8150.797	8272.919	8360.428	8416.5
404	"Kenya"	335.07	427.27	511.599	593.585	672.13	746.856	816.893	881.919	941.339	994.008	1040.961	1081.751	1116.194	1142.17	1157.028	1162.027	1161.685
450	"Madagascar"	126.42	184.553	243.585	303.111	363.639	425.339	488.365	551.675	613.631	673.36	730.213	783.626	834.633	884.87	935.339	986.221	1036.837
454	"Malawi"	1126.312	1472.559	1715.576	1964.151	2224.717	2505.202	2806.669	3125.429	3455.211	3796.307	4145.786	4505.671	4870.133	5244.165	5633.716	6040.232	6453.61
480	"Mauritius"	17.989	17.933	17.721	17.486	17.259	17.099	16.969	16.824	16.587	16.159	15.544	14.938	14.474	14.168	14.026	14.024	14.085
175	"Mayotte"	12.505	17.271	21.427	25.527	29.515	33.436	37.296	41.116	44.914	48.595	52.044	55.19	58.013	60.601	63.107	65.594	68.026
508	"Mozambique"	1430.4	1473.728	1726.362	1984.938	2257.501	2544.204	2838.306	3136.227	3439.757	3741.611	4035.726	4323.4	4612.308	4906.929	5191.906	5463.409	5732.363
638	"R~A(c)union"	19.936	24.489	25.483	26.303	26.851	27.164	27.399	27.505	27.428	27.299	27.202	27.138	27.03	26.839	26.59	26.363	26.163
646	"Rwanda"	1285.2	1607.503	1758.937	1912.488	2067.294	2217.693	2359.259	2492.909	2615.347	2721.975	2811.194	2887.214	2951.487	3010.343	3071.572	3138.243	3203.137
690	"Seychelles"	2.547	3.487	3.674	3.851	4.005	4.116	4.179	4.202	4.195	4.162	4.115	4.065	4.014	3.97	3.943	3.928	3.919
706	"Somalia"	2253.59	2394.829	2853.617	3325.318	3825.247	4370.458	4963.022	5594.498	6251.577	6923.541	7587.658	8222.367	8830.191	9410.402	9977.993	10535.983	11076.824
728	"South Sudan"	1740.338	1788.67	2010.079	2243.167	2493.946	2758.78	3024.863	3284.785	3544.907	3807.852	4075.075	4344.894	4615.718	4885.945	5132.359	5328.072	5484.624
800	"Uganda"	614.732	888.684	1060.597	1233.851	1410.333	1590.51	1773.316	1956.124	2136.543	2313.325	2486.421	2657.879	2826.7	2995.037	3160.017	3317.223	3470.506
834	"United Republic of Tanzania"	666.881	899.31	1157.135	1416.874	1683.074	1960.219	2247.228	2538.918	2830.32	3121.791	3416.061	3715.468	4012.689	4300.218	4578.579	4857.451	5137.464
894	"Zambia"	152.353	227.236	277.133	326.247	373.818	419.944	465.977	513.067	562.02	612.774	663.645	712.943	759.203	801.576	839.914	874.664	907.175
716	"Zimbabwe"	117.035	218.441	263.51	305.597	342.909	375.882	406.017	434.788	463.167	490.088	512.645	528.356	537.544	541.595	542.465	541.01	537.739
24	"Angola"	640.721	719.035	851.354	987.093	1129.764	1286.827	1461.626	1652.407	1853.002	2053.597	2244.807	2421.298	2576.768	2714.128	2842.285	2968.507	3093.841
120	"Cameroon"	64.894	104.051	137.793	170.653	202.61	234.109	264.706	293.563	319.879	342.373	360.279	373.732	382.826	388.678	393.751	400.176	407.385
140	"Central African Republic"	84.27	96.275	102.019	107.629	112.967	118.063	122.897	127.211	130.808	133.378	134.889	135.424	134.938	133.364	130.952	128.146	125.295
