"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"WORLD"	900	7348416.351	7792250.83	8222902.068	8634374.386	9022741.702	9406580.938	9759269.794	10124633.776	10458240.619	10790923.006	11114856.371	11407855.793	11694935.197	12031300.235	12309533.332	12611717.606	12941499.311	13236959.043
"AFRICA"	903	1186174.321	1349996.088	1525299.589	1714616.962	1916992.534	2132787.888	2369374.366	2618674.386	2867976.986	3137695.803	3403923.484	3698755.139	3996126.519	4278286.294	4589350.794	4890086.962	5200772.351	5513785.145
"Burundi"	108	11178.921	13847.466	16790.621	20337.112	24281.102	28913.572	33839.827	39014.926	45038.97	52629.991	62328.12	70609.303	81135.695	92940.5	105274.091	116165.298	130867.633	142294.992
"Comoros"	174	788.474	925.417	1061.425	1209.089	1375.268	1530.751	1715.003	1908.507	2100.209	2320.283	2558.888	2770.514	3044.024	3288.158	3478.565	3720.057	3901.933	4127.276
"Djibouti"	262	887.861	1212.686	1504.374	1713.781	1985.244	2245.089	2441.789	2632.061	2828.48	3179.698	3452.493	3712.105	3933.271	4126.239	4494.439	4807.65	5143.68	5346.758
"Eritrea"	232	5227.791	6340.047	7524.76	8809.881	10133.405	11662.434	13414.243	14913.826	16632.313	18522.436	20421.784	23154.466	25257.425	27642.116	30547.498	33322.623	35819.553	38595.378
"Ethiopia"	231	99390.75	117631.58	136797.849	158016.088	181319.128	205481.767	231591.108	257298.96	288337.643	318434.437	344209.069	372700.933	402313.411	437893.17	471434.101	505607.197	529338.589	552326.396
"Kenya"	404	46050.302	52954.436	60258.287	68321.442	76648.655	85688.537	94723.814	104546.579	114428.456	124999.648	136344.738	147382.342	158008.582	168803.919	181158.155	193045.991	206217.968	218056.972
"Madagascar"	450	24235.39	28386.354	33037.99	38396.623	44427.814	51112.804	58688.015	67389.506	77153.159	87417.368	98111.302	109687.584	122107.982	137254.112	152320.015	169070.695	185375.513	202895.915
"Malawi"	454	17215.232	22129.553	26960.004	32377.091	38956.053	46019.369	55017.616	63517.362	73379.677	82989.311	93622.816	103447.368	116266.182	131136.467	143414.811	158983.288	174459.844	186197.25
"Mauritius"	480	1273.212	1324.593	1375.328	1421.142	1463.049	1491.884	1508.333	1512.731	1522.374	1543.609	1545.868	1564.64	1556.99	1529.997	1535.114	1547.549	1540.621	1542.543
"Mayotte"	175	240.015	295.898	355.867	431.054	517.191	623.356	748.931	861.263	989.859	1138.075	1297.181	1433.079	1576.198	1753.112	1876.142	2037.304	2169.21	2341.065
"Mozambique"	508	27977.863	34234.166	41312.044	48531.632	56469.662	64728.92	75082.897	85068.865	96998.75	108989.866	125259.633	141095.458	158168.296	173661.087	197379.176	214005.094	232968.399	254255.457
"Reunion"	638	861.154	940.234	1010.071	1084.957	1163.5	1248.663	1333.216	1430.123	1530.44	1631.208	1719.128	1798.591	1870.967	1977.036	2126.343	2207.58	2345.27	2456.017
"Rwanda"	646	11609.666	15157.863	18630.703	22147.925	25501.442	28750.074	31718.839	36061.521	39549.728	44032.017	48367.658	52240.573	55009.625	60283.941	65462.559	68822.096	71535.284	74978.003
"Seychelles"	690	96.471	105.037	111.752	119.218	126.557	133.824	140.904	148.922	157.31	162.711	169.618	178.145	188.463	197.942	197.99	198.53	203.537	207.052
"Somalia"	706	10787.104	15812.586	20192.898	25067.316	30613.144	36089.015	42568.08	49426.072	59252.189	69929.813	79982.93	90214.28	102102.63	113648.001	129114.067	141518.79	158886.415	176412.944
"South Sudan"	728	12339.812	16509.696	21001.44	25567.538	30313.309	35863.831	42720.653	50320.513	58000.777	65199.205	77187.506	86159.77	98646.782	110044.41	124981.223	136738.329	147870.962	156647.414
"Uganda"	800	39032.383	47062.092	56083.56	65993.995	77268.716	90139.817	104260.558	119751.632	137509.1	157269.389	177969.021	199848.817	222952.85	248007.839	274151.385	305836.975	339752.927	369338.591
"United Republic of Tanzania"	834	53470.42	64028.251	76125.809	90112.443	107271.146	127009.456	149121.033	174781.548	202772.689	233357.561	266753.279	306230.883	347001.875	390010.539	443295.692	497683.556	553253.396	616832.664
"Zambia"	894	16211.767	19109.85	22375.239	26061.931	30325.022	35080.69	40453.166	46210.177	52538.48	59747.147	67702.65	76855.95	86053.244	96371.954	108158.218	119701.999	132585.672	147288.182
"Zimbabwe"	716	15602.751	17878.04	20098.197	22473.99	24961.511	27606.237	30373.785	33230.13	36511.568	39698.364	42157.726	44763.778	48196.701	51737.869	55158.528	58213.88	61568.858	65318.769
"Angola"	24	25021.974	30314.805	36507.881	43197.934	50823.339	60175.253	69955.329	81841.763	93858.188	109263.843	122395.768	141113.165	159600.522	179111.682	203496.929	226994.164	248906.518	276225.878
"Cameroon"	120	23344.179	26657.305	30244.862	34157.332	38340.512	42693.273	47648.144	52538.117	57671.254	63144.896	68507.933	74345.745	80052.05	85775.111	91785.374	97616.184	104253.906	110419.356
"Central African Republic"	140	4900.274	5502.623	6119.356	6741.156	7334.332	7934.053	8541.627	9185.071	9830.081	10420.978	10976.267	11453.287	11813.68	12285.852	12758.016	13156.874	13401.849	13570.654
"Chad"	148	14037.472	16959.479	20243.351	24106.976	28442.999	33210.693	39274.16	45655.25	52465.126	60400.889	69174.524	77867.415	88618.166	100376.024	113128.792	125004.44	138202.449	153419.126
"Congo"	178	4620.33	5382.909	6214.648	7142.552	8217.796	9344.533	10602.928	11901.462	13415.99	14865.524	16634.63	18423.226	20549.581	22767.087	24976.671	27226.934	29879.169	32624.872
"Democratic Republic of the Congo"	180	77266.814	93156.973	111568.258	132030.961	156044.971	182376.559	213938.882	246932.386	287183.506	332614.405	379909.892	424896.491	479955.303	538804.705	603836.708	680744.328	750505.991	842163.42
"Equatorial Guinea"	226	845.06	1177.898	1479.781	1782.296	2050.004	2320.01	2646.921	2988.31	3296.804	3732.029	4094.14	4511.686	4882.938	5454.037	6108.275	6438.104	7367.028	7815.662
"Gabon"	266	1725.292	1960.396	2208.02	2468.525	2760.326	3059.311	3367.306	3702.024	4016.909	4365.9	4747.416	5034.706	5321.197	5641.349	6017.955	6316.027	6685.987	7013.216
"Sao Tome and Principe"	678	190.344	229.732	272.183	327.513	387.926	458.261	535.557	610.616	692.042	756.484	836.371	893.388	987.795	1096.218	1221.49	1379.645	1526.974	1597.435
"Algeria"	12	39666.519	43769.704	47436.717	50818.056	54146.144	57585.838	61086.457	65179.71	68892.497	72307.071	75552.508	78529.389	82028.187	86180.192	88662.924	92035.277	94736.251	98447.008
"Egypt"	818	91508.084	102452.37	113248.463	124606.562	136604.595	149998.942	164982.796	179178.492	195375.773	212718.411	228708.183	245917.581	263353.801	284657.387	302625.93	326368.528	350665.103	373906.218
"Libya"	434	6278.438	6751.964	7189.769	7651.338	8081.878	8648.17	9070.513	9686.944	10189.227	10447.107	11167.68	11706.228	12272.712	13071.699	13786.562	14505.82	14998.089	15112.262
"Morocco"	504	34377.511	37204.27	39849.4	42512.909	44872.723	47008.233	49682.409	51922.408	54071.16	56122.426	58463.317	60689.595	62095.372	63023.742	64475.853	65918.549	66123.868	67227.624
"Sudan"	729	40234.882	47591.075	55289.543	63701.554	72078.668	81700.014	92361.317	103525.634	114134.467	125804.721	139174.503	153840.011	167980.152	179209.833	193927.292	209871.661	225929.307	240296.852
"Tunisia"	788	11253.554	12238.945	13122.66	13986.889	14844.374	15734.714	16590.945	17541.962	18436.294	19569.843	20607.677	21381.083	22241.037	23322.844	23987.392	24463.568	24631.083	25601.594
"Western Sahara"	732	572.54	675.999	740.94	843.492	988.023	1101.158	1223.984	1287.645	1326.324	1465.751	1538.956	1657.241	1721.769	1790.533	1883.774	1977.704	2112.199	2236.488
"Botswana"	72	2262.485	2546.348	2838.447	3109.737	3401.397	3668.843	3945.15	4210.675	4462.994	4714.522	4958.356	5242.411	5460.954	5713.687	5962.521	6231.305	6527.09	6905.145
