"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
384	"C~A'te d'Ivoire"	5.438	7.088	8.457	8.803	9.134	9.443	9.702	9.888	10.009	10.105	10.208	10.319	10.421	10.512	10.588	10.639	10.661
270	"Gambia"	12.207	12.983	12.368	12.13	11.943	11.832	11.772	11.732	11.718	11.767	11.872	11.986	12.084	12.128	12.061	11.871	11.601
288	"Ghana"	6.636	6.007	6.585	6.666	6.758	6.841	6.899	6.913	6.879	6.805	6.692	6.551	6.416	6.313	6.25	6.208	6.165
324	"Guinea"	15.463	15.724	15.318	15.126	14.954	14.834	14.778	14.78	14.79	14.755	14.657	14.499	14.298	14.058	13.818	13.588	13.366
624	"Guinea-Bissau"	0.926	1.623	2.359	2.36	2.355	2.354	2.373	2.424	2.502	2.588	2.664	2.723	2.764	2.794	2.822	2.851	2.88
430	"Liberia"	27.254	28.265	27.201	26.948	26.679	26.427	26.162	25.815	25.365	24.945	24.687	24.694	24.934	25.245	25.475	25.6	25.652
466	"Mali"	0.378	1.584	2.031	2.309	2.585	2.836	3.025	3.139	3.188	3.188	3.155	3.095	3.026	2.954	2.88	2.795	2.696
478	"Mauritania"	1.114	1.814	1.971	2.006	2.039	2.075	2.12	2.175	2.23	2.267	2.275	2.261	2.222	2.164	2.1	2.042	1.992
562	"Niger"	1.406	1.621	1.843	1.838	1.83	1.816	1.799	1.782	1.769	1.751	1.722	1.683	1.632	1.569	1.5	1.432	1.361
566	"Nigeria"	1.547	1.825	1.953	1.95	1.943	1.93	1.91	1.886	1.863	1.846	1.839	1.839	1.836	1.828	1.814	1.792	1.765
686	"Senegal"	2.627	3.262	4.156	4.305	4.452	4.597	4.731	4.839	4.908	4.932	4.913	4.864	4.801	4.738	4.684	4.643	4.617
694	"Sierra Leone"	14.616	14.453	14.733	14.645	14.541	14.424	14.318	14.246	14.202	14.161	14.097	14.011	13.932	13.917	13.961	14.061	14.224
768	"Togo"	8.921	10.112	9.174	9.142	9.137	9.184	9.282	9.398	9.479	9.488	9.439	9.333	9.167	8.97	8.783	8.612	8.446
935	"ASIA"	0.06	0.152	0.236	0.276	0.315	0.352	0.385	0.413	0.436	0.458	0.48	0.502	0.526	0.549	0.57	0.588	0.603
156	"China"	0.642	0.852	1.002	1.076	1.146	1.209	1.268	1.32	1.36	1.385	1.399	1.406	1.409	1.407	1.403	1.399	1.394
344	"China, Hong Kong SAR"	14.662	15.912	14.463	14.428	14.415	14.445	14.503	14.549	14.557	14.535	14.518	14.508	14.488	14.482	14.536	14.68	14.868
446	"China, Macao SAR"	31.164	27.831	25.733	25.2	24.645	24.074	23.505	23.06	22.818	22.701	22.598	22.57	22.663	22.925	23.318	23.852	24.449
408	"Dem. People's Republic of Korea"	1.199	1.241	1.305	1.284	1.265	1.25	1.238	1.231	1.227	1.224	1.223	1.223	1.224	1.221	1.214	1.202	1.188
392	"Japan"	1.936	2.098	2.131	2.206	2.275	2.332	2.375	2.399	2.403	2.396	2.381	2.362	2.344	2.328	2.318	2.314	2.309
496	"Mongolia"	2.17	2.802	2.904	3.046	3.179	3.287	3.359	3.398	3.419	3.434	3.45	3.478	3.538	3.623	3.727	3.845	3.971
410	"Republic of Korea"	3.639	3.705	3.701	3.707	3.712	3.72	3.741	3.778	3.812	3.819	3.794	3.752	3.713	3.689	3.687	3.7	3.72
158	"Other non-specified areas"	3.759	4.583	4.895	4.821	4.755	4.7	4.656	4.621	4.597	4.589	4.603	4.629	4.656	4.676	4.677	4.653	4.61
398	"Kazakhstan"	10.962	12.023	13.179	13.203	13.245	13.304	13.373	13.429	13.433	13.38	13.289	13.182	13.093	13.055	13.107	13.259	13.472
417	"Kyrgyzstan"	3.752	6.267	7.377	7.725	8.051	8.331	8.542	8.688	8.761	8.777	8.784	8.802	8.828	8.843	8.812	8.734	8.629
762	"Tajikistan"	4.067	5.441	6.619	6.607	6.591	6.585	6.588	6.603	6.631	6.652	6.668	6.678	6.669	6.627	6.551	6.452	6.354
795	"Turkmenistan"	4.304	4.929	5.444	5.438	5.441	5.447	5.438	5.403	5.35	5.302	5.267	5.247	5.236	5.218	5.176	5.116	5.044
860	"Uzbekistan"	2.815	3.918	4.894	5.149	5.379	5.562	5.696	5.789	5.86	5.91	5.936	5.948	5.969	6.017	6.094	6.187	6.291
4	"Afghanistan"	29.297	30.893	27.228	27.355	27.508	27.616	27.614	27.47	27.225	26.906	26.593	26.286	25.971	25.679	25.414	25.147	24.876
50	"Bangladesh"	0.822	1.668	1.832	1.891	1.933	1.949	1.942	1.926	1.925	1.958	2.019	2.094	2.163	2.205	2.213	2.192	2.158
64	"Bhutan"	16.288	17.118	17.949	17.768	17.524	17.171	16.732	16.327	16.032	15.84	15.7	15.585	15.499	15.451	15.448	15.491	15.566
356	"India"	0.562	0.807	1.042	1.101	1.155	1.201	1.241	1.275	1.304	1.33	1.354	1.374	1.39	1.403	1.413	1.421	1.423
364	"Iran (Islamic Republic of)"	5.648	6.51	6.627	6.642	6.644	6.627	6.588	6.544	6.509	6.483	6.441	6.387	6.329	6.283	6.258	6.246	6.243
462	"Maldives"	3.166	3.175	3.233	3.197	3.15	3.088	3.015	2.938	2.87	2.82	2.785	2.757	2.736	2.718	2.706	2.704	2.712
524	"Nepal"	1.025	2.038	2.773	3.039	3.284	3.475	3.587	3.629	3.629	3.616	3.615	3.626	3.63	3.614	3.572	3.516	3.457
586	"Pakistan"	1.205	1.926	2.483	2.536	2.576	2.6	2.61	2.606	2.594	2.587	2.593	2.606	2.624	2.65	2.681	2.719	2.758
144	"Sri Lanka"	-2.175	-1.112	-0.536	-0.305	-0.097	0.075	0.203	0.286	0.342	0.39	0.442	0.5	0.551	0.59	0.612	0.613	0.602
96	"Brunei Darussalam"	6.403	8.495	8.957	9.005	9.029	9.021	8.99	8.938	8.879	8.835	8.818	8.825	8.835	8.819	8.771	8.704	8.632
116	"Cambodia"	4.032	5.775	5.748	5.759	5.772	5.782	5.791	5.799	5.806	5.813	5.803	5.764	5.697	5.626	5.564	5.51	5.457
360	"Indonesia"	0.627	0.903	1.191	1.297	1.4	1.496	1.582	1.655	1.708	1.737	1.747	1.746	1.741	1.732	1.719	1.7	1.679
