"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
703	"Slovakia"	-78.463	-102.666	-102.331	-101.779	-100.698	-98.919	-96.463	-93.358	-89.712	-85.837	-81.99	-78.443	-75.343	-72.692	-70.464	-68.52	-66.641
804	"Ukraine"	-516.238	-652.156	-661.3	-667.908	-669.33	-663.257	-649.781	-632.474	-614.391	-597.196	-581.751	-568.924	-558.312	-549.537	-543.095	-538.126	-533.368
830	"Channel Islands"	-1.268	-2.844	-3.437	-3.994	-4.465	-4.814	-5.018	-5.096	-5.087	-5.019	-4.918	-4.8	-4.669	-4.525	-4.373	-4.221	-4.077
208	"Denmark"	15.154	-19.337	-29.818	-39.729	-48.733	-56.597	-63.251	-68.717	-73.063	-76.441	-79.282	-82.081	-85.332	-89.468	-94.794	-101.122	-107.96
233	"Estonia"	-75.487	-79.676	-77.648	-75.574	-73.514	-71.451	-69.486	-67.583	-65.818	-64.394	-63.387	-62.763	-62.428	-62.39	-62.663	-63.14	-63.705
246	"Finland"	-60.234	-108.13	-118.237	-127.578	-135.213	-140.818	-144.811	-147.574	-149.249	-150.096	-150.483	-150.977	-151.961	-153.371	-155.194	-157.42	-159.705
352	"Iceland"	-8.505	-10.415	-10.833	-11.215	-11.509	-11.662	-11.668	-11.562	-11.385	-11.199	-11.049	-10.975	-10.957	-10.967	-11.01	-11.095	-11.215
372	"Ireland"	-373.639	-397.354	-392.201	-386.882	-381.029	-375.321	-370.558	-367.467	-366.138	-366.152	-366.797	-367.826	-370.755	-376.906	-386.499	-398.677	-411.724
428	"Latvia"	-133.633	-137.23	-128.659	-120.061	-111.737	-103.94	-96.907	-90.885	-86.01	-82.118	-79.108	-76.765	-74.747	-73.082	-71.943	-71.293	-70.921
440	"Lithuania"	-212.344	-204.611	-186.761	-169.161	-152.159	-136.127	-121.542	-109.071	-99.096	-91.515	-85.994	-81.957	-78.858	-76.269	-73.963	-71.769	-69.561
578	"Norway"	135.009	62.064	35.51	9.604	-14.8	-36.767	-55.748	-72.164	-87.238	-102.27	-117.342	-131.832	-145.056	-156.306	-165.781	-174.161	-182.015
752	"Sweden"	14.963	-67.982	-94.078	-118.736	-141.606	-162.838	-182.224	-199.402	-214.277	-227.206	-238.727	-249.673	-260.95	-272.763	-284.77	-296.338	-307.512
826	"United Kingdom"	-189.307	-438.302	-581.331	-723.84	-860.918	-983.887	-1085.478	-1163.604	-1219.986	-1260.13	-1289.048	-1312.616	-1334.031	-1358.896	-1390.788	-1427.91	-1467.618
8	"Albania"	-304.544	-327.827	-316.411	-305.221	-295.032	-286.756	-281.315	-279.221	-279.837	-282.599	-286.648	-290.851	-293.423	-293.9	-293.008	-291.678	-289.947
70	"Bosnia and Herzegovina"	-365.667	-386.206	-369.836	-353.612	-338.579	-324.979	-312.763	-302.135	-293.28	-285.707	-278.637	-272.517	-266.929	-259.894	-250.372	-237.902	-223.719
191	"Croatia"	-132.637	-156.858	-151.302	-145.707	-140.12	-134.748	-130.011	-125.792	-121.864	-118.149	-114.537	-111.137	-108.028	-105.158	-102.356	-99.584	-96.828
300	"Greece"	-440.53	-490.316	-484.613	-475.868	-462.171	-442.636	-418.903	-394.556	-372.25	-352.711	-335.986	-322.316	-311.411	-302.937	-296.297	-290.406	-284.819
380	"Italy"	-673.772	-1108.145	-1182.026	-1251.897	-1311.694	-1355.647	-1379.616	-1384.44	-1373.072	-1348.258	-1315.721	-1280.786	-1245.82	-1211.998	-1178.15	-1143.032	-1106.908
470	"Malta"	-7.233	-12.929	-13.725	-14.472	-15.096	-15.564	-15.832	-15.858	-15.668	-15.389	-15.133	-15.02	-15.078	-15.244	-15.469	-15.724	-15.973
499	"Montenegro"	-44.239	-47.773	-46.581	-45.386	-44.149	-42.805	-41.278	-39.582	-37.82	-36.109	-34.499	-33.108	-31.96	-30.907	-29.798	-28.547	-27.215
620	"Portugal"	-720.567	-692.667	-671.243	-649.619	-627.738	-605.439	-583.174	-561.216	-540.024	-520.644	-503.403	-488.51	-475.211	-463.285	-451.587	-438.929	-425.916
688	"Serbia"	-447.963	-424.544	-408.494	-393.251	-378.519	-364.398	-352.125	-341.623	-331.319	-320.283	-309.504	-300.278	-292.792	-286.87	-282.389	-278.766	-275.42
705	"Slovenia"	-57.272	-68.625	-67.952	-67.294	-66.607	-65.884	-65.014	-63.915	-62.734	-61.561	-60.376	-59.212	-58.07	-56.967	-55.99	-55.167	-54.434
724	"Spain"	-2477.468	-2592.051	-2512.359	-2432.539	-2353.374	-2271.191	-2180.856	-2087.399	-2001.302	-1932.332	-1888.742	-1865.55	-1851.151	-1832.663	-1807.906	-1779.604	-1751.993
807	"TFYR Macedonia"	-120.064	-128.587	-125.348	-121.793	-118.191	-114.737	-111.338	-107.859	-104.337	-100.851	-97.553	-94.395	-91.429	-88.85	-86.504	-83.961	-81.208
40	"Austria"	-50.878	-122.592	-134.004	-144.011	-151.882	-158.023	-163.272	-167.932	-172.278	-176.26	-179.725	-181.995	-182.252	-180.404	-177.044	-172.945	-168.424
56	"Belgium"	53.285	-27.547	-59.933	-91.44	-121.409	-149.389	-174.993	-198.017	-217.889	-233.841	-245.217	-252.081	-255.616	-257.673	-259.548	-261.778	-264.224
250	"France"	-924.132	-1260.115	-1316.408	-1367.866	-1412.545	-1450.972	-1480.502	-1502.501	-1522.443	-1549.538	-1590.057	-1639.782	-1682.378	-1705.127	-1706.109	-1689.595	-1662.436
276	"Germany"	-1176.494	-1752.654	-1780.466	-1806.862	-1828.052	-1837.853	-1830.332	-1808.041	-1777.019	-1738.702	-1698.252	-1661.304	-1628.003	-1599.816	-1576.446	-1557.08	-1540.225
442	"Luxembourg"	15.658	-4.692	-11.751	-18.557	-24.903	-30.705	-35.972	-40.923	-45.833	-50.837	-55.985	-61.29	-66.823	-72.639	-78.901	-85.542	-92.243
528	"Netherlands"	-61.801	-111.569	-130.747	-148.914	-165.111	-178.886	-190.078	-199.103	-206.679	-212.582	-216.735	-219.369	-220.524	-220.857	-220.728	-220.066	-219.001
756	"Switzerland"	-87.808	-284.834	-321.363	-353.831	-380.373	-401.073	-418.383	-434.699	-452.686	-473.23	-494.653	-514.39	-530.962	-543.455	-552.754	-560.93	-568.233
904	"LATIN AMERICA AND THE CARIBBEAN"	-6035.232	-7340.544	-7740.952	-8129.934	-8497.323	-8824.252	-9093.444	-9295.998	-9421.178	-9467.22	-9447.065	-9392.859	-9336.648	-9289.899	-9251.212	-9200.845	-9133.426
28	"Antigua and Barbuda"	-11.178	-12.773	-12.916	-13.088	-13.293	-13.51	-13.755	-14.038	-14.365	-14.728	-15.072	-15.321	-15.536	-15.8	-16.123	-16.449	-16.756
533	"Aruba"	-19.656	-18.351	-18.546	-18.714	-18.867	-18.99	-19.052	-19.081	-19.118	-19.118	-19.039	-18.896	-18.762	-18.704	-18.763	-18.98	-19.312
44	"Bahamas"	-28.107	-38.557	-40.402	-42.026	-43.312	-44.215	-44.819	-45.45	-46.404	-47.778	-49.415	-51.14	-52.886	-54.516	-55.985	-57.398	-58.866
52	"Barbados"	-8.953	-13.585	-13.825	-14.054	-14.283	-14.486	-14.627	-14.696	-14.706	-14.687	-14.671	-14.67	-14.688	-14.714	-14.735	-14.745	-14.758
